"2016-03-13T15:36:41.452Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662166_1&handle=announcements_entry&mode=view"", """""
"2016-03-13T15:36:44.635Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662166_1&handle=announcements_entry&mode=view"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662166_1&content_id=_15281689_1&mode=reset"""
"2016-03-13T15:36:46.445Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662166_1&content_id=_15281689_1&mode=reset"", """""
"2016-03-13T15:36:44.662Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662166_1&handle=announcements_entry&mode=view"", """""
"2016-03-13T15:36:48.968Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662166_1&content_id=_15281689_1&mode=reset"", ""https://wiki.associatie.kuleuven.be/aplai"""
"2016-03-13T15:36:48.977Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662166_1&content_id=_15281689_1&mode=reset"", """""
"2016-03-13T15:36:49.571Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-13T15:36:49.622Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-13T15:36:50.457Z, ""load"", ""https://cygnus.cc.kuleuven.be/webapps/login/?action=login&new_loc=%2Fwebapps%2Ftol-sso-bb_bb60%2Flogin.htm%3Fservice%3Dhttps%3A%2F%2Fwiki.associatie.kuleuven.be%2Faplai%2F"", """""
"2016-03-13T15:36:53.214Z, ""click"", ""https://cygnus.cc.kuleuven.be/webapps/login/?action=login&new_loc=%2Fwebapps%2Ftol-sso-bb_bb60%2Flogin.htm%3Fservice%3Dhttps%3A%2F%2Fwiki.associatie.kuleuven.be%2Faplai%2F"", ""https://p.cygnus.cc.kuleuven.be/Shibboleth.sso/Login?entityID=urn:mace:kuleuven.be:kulassoc:kuleuven.be&target=https://p.cygnus.cc.kuleuven.be/webapps/bb-auth-provider-shibboleth-bb_bb60/execute/shibbolethLogin?authProviderId=_104_1%26returnUrl%3D%252Fwebapps%252Ftol-sso-bb_bb60%252Flogin.htm%253Fservice%253Dhttps%253A%252F%252Fwiki.associatie.kuleuven.be%252Faplai%252F"""
"2016-03-13T15:36:53.589Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-13T15:36:53.220Z, ""beforeunload"", ""https://cygnus.cc.kuleuven.be/webapps/login/?action=login&new_loc=%2Fwebapps%2Ftol-sso-bb_bb60%2Flogin.htm%3Fservice%3Dhttps%3A%2F%2Fwiki.associatie.kuleuven.be%2Faplai%2F"", """""
"2016-03-13T15:36:53.647Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-13T15:36:56.739Z, ""load"", ""https://wiki.associatie.kuleuven.be/aplai/?ticket=c3b1ac25-48f9-4537-a05e-d95a0a3772e9&service=https%3A%2F%2Fwiki.associatie.kuleuven.be%2Faplai%2F"", """""
"2016-03-13T15:37:02.193Z, ""click"", ""https://wiki.associatie.kuleuven.be/aplai/?ticket=c3b1ac25-48f9-4537-a05e-d95a0a3772e9&service=https%3A%2F%2Fwiki.associatie.kuleuven.be%2Faplai%2F"", ""https://wiki.associatie.kuleuven.be/aplai/index.php/ECLiPSe_Exercises"""
"2016-03-13T15:37:02.244Z, ""beforeunload"", ""https://wiki.associatie.kuleuven.be/aplai/?ticket=c3b1ac25-48f9-4537-a05e-d95a0a3772e9&service=https%3A%2F%2Fwiki.associatie.kuleuven.be%2Faplai%2F"", """""
"2016-03-13T15:37:03.082Z, ""load"", ""https://wiki.associatie.kuleuven.be/aplai/index.php/ECLiPSe_Exercises"", """""
"2016-03-13T16:25:15.364Z, ""beforeunload"", ""https://wiki.associatie.kuleuven.be/aplai/index.php/ECLiPSe_Exercises"", """""
