"2016-03-22T15:03:17.305Z, ""beforeunload"", ""https://labsblog.f-secure.com/"", """"  "
"2016-03-22T15:03:17.490Z, ""load"", ""https://newsfromthelab.files.wordpress.com/2016/03/fbi-letter-to-senator-wyden.png"", """"  "
"2016-03-22T15:03:21.677Z, ""beforeunload"", ""https://newsfromthelab.files.wordpress.com/2016/03/fbi-letter-to-senator-wyden.png"", """"  "
"2016-03-22T15:03:22.058Z, ""load"", ""https://labsblog.f-secure.com/"", """"  "
"2016-03-22T15:04:09.280Z, ""beforeunload"", ""https://labsblog.f-secure.com/"", """"  "
"2016-03-22T15:04:10.337Z, ""load"", ""https://www.google.be/search?q=man+in+the+high+castle+streaming&ie=utf-8&oe=utf-8&gws_rd=cr&ei=yrX1VvvaOcfrPq2ArvgI"", """" "
"2016-03-22T15:04:12.076Z, ""click"", ""https://www.google.be/search?q=man+in+the+high+castle+streaming&ie=utf-8&oe=utf-8&gws_rd=cr&ei=yrX1VvvaOcfrPq2ArvgI"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwiohMvp69zLAhWBYQ8KHRO4DuMQFggjMAA&url=http%3A%2F%2Fputlocker.is%2Fwatch-the-man-in-the-high-castle-tvshow-online-free-putlocker.html&usg=AFQjCNHnscf3EZNkjSz4n88YZ88uTTXVng""   "
"2016-03-22T15:04:12.194Z, ""beforeunload"", ""https://www.google.be/search?q=man+in+the+high+castle+streaming&ie=utf-8&oe=utf-8&gws_rd=cr&ei=yrX1VvvaOcfrPq2ArvgI"", """" "
"2016-03-22T15:04:12.989Z, ""load"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-online-free-putlocker.html"", """"  "
"2016-03-22T15:04:18.181Z, ""click"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-online-free-putlocker.html"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-season-1-episode-3-online-free-putlocker.html""    "
"2016-03-22T15:04:18.271Z, ""beforeunload"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-online-free-putlocker.html"", """"  "
"2016-03-22T15:04:18.182Z, ""click"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-online-free-putlocker.html"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-season-1-episode-3-online-free-putlocker.html""    "
"2016-03-22T15:04:18.540Z, ""load"", ""http://onclickads.net/?auction_id=ffeb889283d570b4&zoneid=10802&pbk2=e429c6e3784eafc3b40e31fcc25e9e316266114354804342093&r=%2Foc%2Fhan"", """"  "
"2016-03-22T15:04:18.277Z, ""beforeunload"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-online-free-putlocker.html"", """"  "
"2016-03-22T15:04:18.731Z, ""beforeunload"", ""http://onclickads.net/?auction_id=ffeb889283d570b4&zoneid=10802&pbk2=e429c6e3784eafc3b40e31fcc25e9e316266114354804342093&r=%2Foc%2Fhan"", """"  "
"2016-03-22T15:04:19.187Z, ""load"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-season-1-episode-3-online-free-putlocker.html"", """"   "
"2016-03-22T15:04:56.507Z, ""beforeunload"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-season-1-episode-3-online-free-putlocker.html"", """"   "
"2016-03-22T15:04:57.057Z, ""load"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-online-free-putlocker.html"", """"  "
"2016-03-22T15:04:58.883Z, ""beforeunload"", ""http://putlocker.is/watch-the-man-in-the-high-castle-tvshow-online-free-putlocker.html"", """"  "
"2016-03-22T15:04:59.328Z, ""load"", ""https://www.google.be/search?q=man+in+the+high+castle+streaming&ie=utf-8&oe=utf-8&gws_rd=cr&ei=yrX1VvvaOcfrPq2ArvgI"", """" "
"2016-03-22T15:05:50.953Z, ""polling"", ""https://www.google.be/search?q=man+in+the+high+castle+streaming&ie=utf-8&oe=utf-8&gws_rd=cr&ei=yrX1VvvaOcfrPq2ArvgI#q=noisli"", """" "
"2016-03-22T15:05:52.616Z, ""click"", ""https://www.google.be/search?q=man+in+the+high+castle+streaming&ie=utf-8&oe=utf-8&gws_rd=cr&ei=yrX1VvvaOcfrPq2ArvgI#q=noisli"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwij29OZ7NzLAhVHoQ4KHZHaBakQFggiMAA&url=http%3A%2F%2Fwww.noisli.com%2F&usg=AFQjCNGVxjlXstpomFF_nUgKC6pJCOPn5w&bvm=bv.117868183,d.ZWU""   "
"2016-03-22T15:05:52.790Z, ""beforeunload"", ""https://www.google.be/search?q=man+in+the+high+castle+streaming&ie=utf-8&oe=utf-8&gws_rd=cr&ei=yrX1VvvaOcfrPq2ArvgI#q=noisli"", """"    "
"2016-03-22T15:05:54.829Z, ""load"", ""http://www.noisli.com/"", """"  "
"2016-03-22T15:06:12.728Z, ""click"", ""http://www.noisli.com/"", ""javascript: void(0)"""
"2016-03-22T15:10:35.077Z, ""load"", ""https://www.1dayfly.com/"", """"    "
"2016-03-22T15:10:35.675Z, ""beforeunload"", ""https://www.1dayfly.com/"", """"    "
"2016-03-22T15:10:36.378Z, ""load"", ""https://www.linkedin.com/"", """"   "
"2016-03-22T15:10:37.044Z, ""beforeunload"", ""https://www.linkedin.com/"", """"   "
